chunk_id,original_text (hi),translated_text (en)
1,अगर आपको एक बेहतर लीडर बनना है बहुत कम समय में राजमणि क्लिप चैनल,"If you have to become a better leader, Rajmani Clip Channel in a very short time"
2,टाइप कर लो क्योंकि यहां पर हम इंडिया के बेस्ट लीडर्स आपके सामने लेकर आते हैं,Type because here we bring the best leaders of India before you
3,यह पार्टी विजडम,This party wisdom
4,कल मैं कोई इतना ज्यादा बड़ा या एक्सपीरियंस,Yesterday I have such a big or experience
5,बहुत ज्यादा विजडम दे सके और मुझे ऐसा लगता है कि कुछ पॉइंट्स है,Could give too much wisdom and I feel that there are some points
6,जो मैंने सीखे ऑब्जर्व करें मेरे आस पास जो लोग हैं और जो मेरे साथ पॉडकास्ट पर लोग आते हैं,"Whatever I have learned to observe, people around me and people who come to podcast with me"
7,सबसे मुझे कुछ विजडम मिली है क्या उन सब को,I have got some wisdom most of them
8,करके साइलेंटली मैंने कुछ मेरी लाइफ में इंप्लीमेंट किया है वह मेरी एक छोटा सा,By doing silently I have implemented something in my life
9,इस दिन का खजाना बन चुका है जिसने मेरी लाइफ को बहुत बैटर किया है और,The treasure of this day has become a very batter of my life and
10,वही शेयर करना चाहता हूं आप लोगों के साथ यह पॉइंट है नीड्स वर्सिज वांट्स,I want to share the same point with you guys Needs Verses Wants
11,हमारी पेरेंट्स की जनरेशन को एक चीज बहुत अच्छे से आती है जो हमें नहीं आती,The generation of our parents knows one thing very well that we do not know
12,वह अपनी नींद वांट्स को डिफरेंटशिएट करना जब,When she is to differentiate her sleeping vendors
13,फोन ले लो आपका बिजनेस बहुत बढ़ेगा सिर्फ आपके बिजनेस के लिए अच्छा होगा,"Take the phone, your business will increase a lot, only it will be good for your business"
14,बहुत ही नहीं यार अभी जरूरत नहीं है क्या,"Not much, friend is not needed yet"
15,प्रेजेंटेशन वह मुझे बता देते हैं कि,Presentation he tells me that
16,जरूरत क्या है और उनका क्या जरूरत नहीं है लाइफ में उनके लिए क्या अपग्रेड है,What is the need and what they do not need is what is upgrade for them in life
17,और क्या इंपॉर्टेंट है और यह ना हम लोगों की जनरेशन को इतने अच्छे से,And is it important and not our generation so well
18,हम लोगों को क्या लगता है कि यार मेरे पास तो अच्छा फोन ही नहीं है लेटेस्ट आईफोन नहीं है,"What do we think that I do not have a good phone, I don't have the latest iPhone"
19,अकाउंटेंट नहीं बन सकता मेरे पास ना एकदम फुलफिल्ड सेटअप नहीं है पीसी का,"Accountant cannot be made, I do not have a full -fledged setup of PC"
20,बढ़िया लैपटॉप नहीं है तो मैं एडिटिंग स्टार्ट नहीं कर सकता बाइक चाहिए नहीं तो मैं ऑफिस कैसे जाऊंगा,"If I do not have a good laptop, I can't start editing, otherwise how will I go to office"
21,इतनी छोटी छोटी चीजों पर हम कंप्लेंट करते हैं और हमें लगता है कि यह अगर नहीं होगा,We comply on such small things and we think it will not happen
22,तो हम आगे का काम कैसे करेंगे और वह सारी चीज वांट्स होती है नीड ने,So how will we do ahead work and all that thing is the need
23,तो हमें हमारी पेरेंट्स की जनरेशन थी सीखना चाहिए की जरूरत को और,So we should learn the generation of our parents and the need of the need and
24,हाथों को डिफरेंटशिएट कैसे करें नीड्स क्या होती है वांट एक बड़ा सा पेपर,"How to differentiate hands to hands, what is a big paper"
25,और उसमें एक साइड लिखो वांट्स कौन सी चीज है जो एकदम,"And write a side in it, what is the thing that is absolutely"
26,दूरी है तुम्हें लाइफ में आगे बढ़ाने में जो तुम्हें चाहिए ही चाहिए,The distance is you need to pursue you in life
27,जो होनी चाहिए नहीं तो उसके बिना कुछ हो नहीं पाएगा एंड थें एक साइड वांट लिखो,"Whatever should happen, otherwise nothing will be done without it and write a side want"
28,यह होता तो बेटर होता कौन कौन सी चीज है कि अगर यह होता तो बहुत बैटर होता,"If it had been there, what would have been the thing that it would have been very batter"
29,इन दोनों के बीच में डिफरेंटशिएट करना सीखो मैं मेरी लिस्ट लगता हूं तुम उसे लिस्ट,"Learn to differentiate between these two, I think my list is my list"
30,नेक्स्ट पॉइंट है,Next point is
31,रेड फ्लैग हर साल हम क्या करते हैं हम दूसरों में रेड,Red Flag what we do every year we red in others
32,किसी लड़की में यह रेड फ्लैग है इस लड़के में यह रेड फ्लैग है इसमें,"This is a red flag in a girl, this boy has this red flag in it"
33,परम खुद के अंदर क्या,What is the ultimate inside
34,यह तो कभी देखते ही नहीं है तो इस साल डिसाइड कर लो कि हम दूसरों के,"If this is never seen, then decide this year that we"
35,अरे मैं गॉसिप करने से ज्यादा या दूसरों के बारे में रेड फ्लैग निकलने से ज्यादा,"Hey, I am more than gossip or more about others, more than coming out"
36,हम खुद के अंदर रिफ्लेक्स देखेंगे और उसको सुधरेंगे उन रेड फ्लैग,We will see reflexes inside ourselves and will improve them red flags
37,मैं जब भी किसी लड़ता हूं मेरे,Whenever I fight my
38,बंद करो,Stop
39,जब भी हम लड़ाई करते 10 मिनट होती हमारी अरगुमेंट होती है डिस्कशन हो तो इतने मतलब क्या,"Whenever we fight for 10 minutes, we have a discussion, then what is the meaning"
40,फिर ना एक बार जब मैं लड़ रहा था मेरे भाई से उसने मुझे बोला,Then not once I was fighting my brother he told me
41,खुद को देखा है क्या तू क्या कर रहा है मुझे रिलाइज हुआ,Have you seen yourself what you are doing
42,मुझ में यह रेड फ्लैग मेरा है कि मैं सामने वाले को सुनता ही नहीं हूं,This red flag in me is mine that I do not listen to the front
43,और उसको समझने की कोशिश ही नहीं करता हूं मैं भी उनका एक वॉलेट पॉइंट है मैं भी उनका वॉलेट पॉइंट,"And I do not try to understand it, I also have a wallet point, I also have his wallet point"
44,लेकिन मुझे कुछ समझाना चाह रहे हैं पर मैं कभी रुक के सुनता ही नहीं था तो उसके,"But I want to explain something to me, but I never listened to stop"
45,आज से मैंने यह डिसाइड किया कि मैं खुद के रिफ्लेक्स देखूंगा,From today onwards I dissected that I will see my own reflex
46,मैं खुद में क्या गलत करूं वह देखेगा ताकि मैं सामने जब नेक्स्ट टाइम,What do I do in myself will see it so that I in front when next time
47,ओवरऑल सिचुएशन बेटर कर दो ना कि उसको उसे टाइम कट,Overall situations and not cut it to him
48,आगे बढ़ जाओ नेक्स्ट पॉइंट स्टार्ट टेकिंग स्मॉल डिसीजंस,Go ahead Next Point Start Teching Small Diseases
49,लाइफ में डिसीजंस नहीं ले पाते हमको ना कभी स्कूल ने सिखाया ना कॉलेज,Neither school taught us nor college in life
50,हमारे आसपास की लोगों ने सिखाया की डिसाइड कैसे किया जाता है,People around us taught how to decide
51,ब्रायन को ट्रेन करके सिखाया जाता है हमारी लाइफ में जब भी बड़े डिसीजन होते हैं हम बड़े कंफ्यूज,Brian is taught by train
52,हमें पता ही नहीं की यार यह सही होगा नहीं होगा लेना है नहीं लेना क्या करना है पता नहीं,"We do not know that man will not be right, it will not be right to take what to do not know what to do"
53,हम लोगों से पूछना स्टार्ट करते जो सही लोग नहीं उनसे पूछना स्टार्ट करते थे और उन सब के बीच में,We start asking people who did not start asking the right people and in the middle of them
54,कंफ्यूज हो जाते हैं क्योंकि हमारे आसपास इतने ऑप्शंस इतनी च्वाइस इतनी चीज की हमें,Confuse are confused because we have so many options around us so much.
55,डिसाइड कैसे करना है इन फैक्ट एक सर्वे था कि 86,How to decide these facts was a survey that 86
56,फैंसी को मेनू एंजायटी है मतलब जब हम रेस्टोरेंट पर जाते और मेनू,Fancy is menu enzyme means when we go to the restaurant and menu
57,क्या आर्डर करूं पता ही नहीं है क्या करूं इतने सारे,"What to order, do not know what to do"
58,हर किसी के साथ ही होता है तो आज से ना छोटे छोटे डिसीजंस लेना स्टार्ट कर,"If it is with everyone, then start taking small decisions from today"
59,कि मैं कौन से कलर के कपड़े पहन लूंगा मैं कहां जाऊंगा मैं क्या खाऊंगा मेरे को किसी रेस्टोरेंट में जाना है,"Which color clothes I will wear, where will I go, what I will eat, I have to go to a restaurant"
60,इतने सारे वीडियो में से इतनी सारे मूवी तो टीवी शोज में से मैं क्या देखेगा,"Among so many videos, what will I watch so many of the TV shows"
61,कंफ्यूज मत हो जो भी हो वह डिसाइड कर लो क्योंकि जब तुम छोटे डिसीजंस लोग,"Whatever it is, whatever it is, make it dissect because when you small decisions people"
62,अब तुम्हारा ब्रेन ड्रेन होगा बड़े डिसीजन लेने के लिए और लाइफ में बड़े डिसीजन तुम आसानी,Now your brain drain will be to take big decisions and big decisions in life you easily
63,अपने ब्रायन को ट्रेन करना स्टार्ट करो स्टार्ट टेकिंग स्मॉल डिसीजंस,Start training your Brian
64,नेक्स्ट पॉइंट है लेस थन 1 मिनट इस सालिए डिसाइड कर लो,Next point is lace ud. 1 minute decide this year
65,कि किसी भी चीज को करने में अगर 1 मिनट से कम लगता है तो,If it takes less than 1 minute to do anything
66,इस टाइम कर लो क्योंकि जो एक 1 मिनट की चीज हम पेंडिंग करते,Do this time because whatever is a 1 minute thing we pending
67,प्रोक्रेस्टिनेट कर देना कल कर लूंगा अरे कर लूंगा रे कर लूंगा रे कर लूंगा,"I will do it tomorrow, I will do it, I will do it"
68,होती नहीं और एंड में जाकर बहुत सारी हो जाती है एंड थें फिर हम रिलाइज करते हैं कि यार कुछ भी नहीं हुआ,It does not happen and go in the end and there is a lot and then we relate that nothing happened
69,मेरी मम्मी मुझे बोलती थी कि यार टीवी रिचार्ज करवा दे,My mother used to tell me to get the TV recharged
70,इंटरनेट रिचार्ज करवा देना कर दूंगा रात को कर दूंगा हो जाएगा पापा मुझे बोलते हैं कि,"I will get the internet recharged and I will do it at night, Papa tells me that"
71,बिल बर्थडे इंटरनेट से भर दे हमें नहीं आ रहा है मन कर दूंगा यार अभी हो जाएगा,"Bill Birthday fills with the internet, we will not feel like you will be able to be done now"
72,फिर मुझे ब्लड टेस्ट करना है पता है मुझे 1 मिनट लगेगा ब्लड टेस्ट करने में,Then I have to do blood tests know that it will take 1 minute to do blood test
73,दूंगा कर दूंगा कर दूंगा के चक्कर में मैं,I will do it in the affair of I will do
74,मम्मी की टीवी बंद हो जाती है 4 दिन बाद पापा,"Mummy's TV stops, father after 4 days"
75,इलेक्ट्रिसिटी बिल के ऊपर उनका फाइन लग जाता है और मैं मेरा ब्लड टेस्ट साल,Their fine is taken over the electricity bill and I am my blood test year
76,इन सब चीजों को क्योंकि मैं डालते जाता हूं सारी छोटी छोटी,All these things because I keep on putting all the small small
77,बाद में बहुत बड़ी बन जाती है और उसे टाइम पर रिलाइज भी नहीं करते कि सामने वाले,"Later, it becomes very big and does not even relax it on time that the front"
78,यह हमको खुद को कितना इनकम कैसे होगा यह 1 मिनट का,How much income will we get this 1 minute
79,करने पर तो इसलिए जो भी ऐसे 1 मिनट के अंदर में काम हो जाते ना छोटे छोटे से,"On doing this, whoever works within 1 minute, not small"
80,ओटीपी देना हो या अप्रूवल देना हो या किसी बात करना हो या किसी को फोन करना हो या कोई,Whether to give OTP or to give approval or to call someone or someone or someone
81,वह सब हाथ के हाथ करके खत्म करो क्योंकि हाथ की याद,Finish all of them with your hand because remember the hand
82,तो हो जाएगा नेक्स्ट पॉइंट है आईटी'एस ओके तो बे सटक,So it will be next point IT'S OK
83,हर सक्सेसफुल इंसान इस एग्जैक्ट फेस से गुजर चुका है जिससे,Every successful person has passed through this exact face due to which
84,इस पेज में जाटों में लग रहा है ना कि तुम स्टॉक हो तुम्हें नहीं पता कि आगे क्या करना है जो तुम,"In this page, Jats are feeling that you are a stock, you do not know what to do next"
85,सही है कि नहीं तुम्हें बहुत लोनली फील हो रहा है क्योंकि जो तुम्हारे पुराने दोस्त हैं वह प्रॉब्लम,Is it right or not you are feeling very lonely because the problem is your old friend
86,इस पेज को समझ नहीं पा रहे और जो आगे जिनको तुम चाहते हो कि तुम्हारे दोस्त बने तुम उसे,Can't understand this page and those who want you to be your friends
87,पहुंच नहीं पे तो तुम्हें बाद तक फुल हो रहा है कि यार मैं सही कर रहा हूं गलत कर रहा हूं,"If you do not reach, then you are getting full till you are doing it right."
88,सेल्फिश तो नहीं हो रहा हूं क्या मैं लोनली कुछ भी नहीं ऐसा,"I am not getting selfish, isn't I lonely like this"
89,वे तो फील थिस वे तुम सटक नहीं हो तुम गलत नहीं हो तुम,They are not feeling you are not wrong you are not wrong
90,न्यू ईयर फीलिंग ग्रंथ की है इस फेस में ऐसा होगा,New year feeling book is in this face
91,पर जो तुम आज तक करते आए हो जिसकी वजह से तुम इस फेस में आए हो ना वही करते जाओ,"But what you have been doing till date, due to which you have come in this face or keep doing the same"
92,क्योंकि यही तुम्हें आगे भी लेकर जाएगा तो तुम्हें गलत फील करने की,"Because this will take you forward, then to make you wrong"
93,कोई जरूरत नहीं है हर सक्सेसफुल इंसान इस फेस से जा चुका है,There is no need every successful person has gone from this face
94,तुम भी इसी फेस से गुजर रहे हो आईटी'एस ओके तो फूल सटक,"You are also passing through this face, IT'S OK to flower"
95,फिक्स्ड डेली यह सबसे इंपॉर्टेंट पॉइंट है,Fixed Daily This is the most important point
96,मुझे लगता है तुम आज जिस भी जगह पर हो,I think whatever place you are today
97,तुम हैप्पी हो अगर तुम हैप्पी हो तुम्हें लगता है कि यही वह जगह जहां मैं देश,"You are happy if you are happy, you think this place where I am country"
98,मुझे इतना ही पहुंचना है तो यह पॉइंट स्किप कर दो बट तुम्हें लगता है कि यार,"If I want to reach this, then skip this point, you think man"
99,बहुत आगे जा सकते हो देन यह पॉइंट तुम्हारे,"You can go far ahead, this point is yours"
100,तो फिर तुम्हें लगता है जहां तुम्हें पहुंचना है वह आज तुम नहीं पहुंच पाए हो,Then you think you have not reached today
101,तो आज रात को बैठो कोई क्वेश्चन पूछो,"So sit tonight, ask a question"
102,दो आई नीड टू रीच मुझे कहां पहुंचना है क्या ऐसा है जो मुझे अच्छी,Where do I want to reach two i need to rich
103,और उसके लिए मुझे क्या करना होगा जो आज मैंने,And what I have to do for that today
104,मैं खुद से रोज पूछता हूं और तुम भी खुद से रोज पूछना स्टार्ट करो,I ask myself every day and you also start asking yourself daily
105,इससे जो इंप्रूवमेंट आएगा लाइफ में शायद किसी और चीज से इतना ज्यादा नहीं आएगा,The improvement that will come from this will probably not come so much from anything else in life.
106,आईडेंटिफाई करो एंड्रॉयड उसे पर काम करना स्टार्ट करो और लास्ट पॉइंट है हेल्प अदर,Identify Android start working on it and the last point is help
107,यह लास्ट पॉइंट सबसे इंपॉर्टेंट पॉइंट,This last point is the most important point
108,लाइफ में यह सोचते हैं कि मैं बेहतर कैसे बनूं मैं जीतू कैसे मैं सक्सेसफुल कैसे बनू मैं,"In life, think how I can become better, how can I become successful"
109,की हेल्प कैसे करूं मैं अचीव और ज्यादा कैसे कर सकता हूं इनफैक्ट,How to help i achieve more and more
110,पूरा का पूरा एक क्षेत्र होता है इंटरनेट पर बुक्स पर और,The whole area is on the Internet on the books and
111,सेल्फ हेल्प खुद की हेल्प कैसे करें,How to help self -help
112,ज्यादा इंपॉर्टेंट क्या है हेल्प अदर हमें कभी कोई सीखना ही,"What is more important, help, we ever learn someone"
113,नीचे के ऊपर कोई बुक है और ना इसके ऊपर कोई वीडियो है कि हम दूसरों की हेल्प,There is a book above the bottom and there is no video that we help others
114,और अगर हमें बेहतर बना है और आसपास की पूरी सोसाइटी को बेहतर बनाने और पूरी,And if we have made better and improve the entire society around and complete
115,तो फिर हमें सीखना पड़ेगा कि हम दूसरों की हेल्प कैसे कर सकते हैं,Then we have to learn how we can help others
116,अपने दोस्तों की हेल्प कैसे कर सकते हैं अपने व्यूअर की हेल्प कैसे कर सकते हैं हमने कस्टमर केयर कैसे कर सकते हैं अपने,"How to help your friends, how can we help your viewer"
117,फैमिली मेंबर्स की हेल्प कैसे कर सकते हैं हाउ कैन वे हेल्प अदर हमें,How can you help family members
118,देखना पड़ेगा तो 2024 में और 2025 में और 202,If you have to see then in 2024 and 2025 and 202
119,मैं हर साल हम आज से ना यह तय करते हैं कि,Every year I do not decide from today that
120,सीखने की कोशिश करेंगे कि दूसरों की हेल्प कैसे कर सकते हैं मुझे वह नहीं आता,Will try to learn how I can help others
121,प्रोबेबली आपको भी नहीं आता होगा पर साथ में अगर कुछ इतिहास है,Probable you will not even know but if there is some history together
122,शेयर करो मेरे साथ कमेंट्स में ताकि हम एक दूसरे से सीख के सब की हेल्प कर,Share with me in comments so that we can learn from each other and help everyone
123,और यह सबसे इंपॉर्टेंट पॉइंट है ऐसे ही और नॉलेज,And this is the most important point and similar knowledge
124,क्लिप के लिए इस चैनल को सब्सक्राइब कर लो क्योंकि हम आपके लिए बहुत सारे वर्ल्ड के टॉप लीडर्स से,Subscribe to this channel for the clip because we have a lot of world top leaders
125,बहुत अच्छे इनसाइट्स लाते हैं जो आपको एक बैटरी लीडर बनने में हेल्प करता है,Very good Insights bring you to become a battery leader
